item_name,amount,category,description
Pink Lady Apples (1.5kg),49.99,Fruit,"Bag of crisp, sweet red apples."
Rotisserie Chicken,119.99,Meat,"Hot, roasted whole chicken with herb seasoning."
Chuckles (125g),64.99,Sweets,Malted puffs covered in milk chocolate.
Ayrshire Milk (2L),45.99,Dairy,Fresh full-cream milk in a plastic jug.
Plain T-Shirt,159.00,Clothes,White cotton crew-neck shirt.
Beef Lasagna (1kg),179.99,Dinner,Ready-made pasta meal with mince and white sauce.
Sparkling Water (500ml),16.99,Drink,"Lemon-flavoured fizzy water, sugar-free."
Hass Avocados (4 pk),69.99,Fruit,Net bag of four ripe avocados.
Chicken Mayo Sandwich,54.99,Lunch,Triangular bread wedges with chicken filling.
Wine Gums (400g),42.99,Sweets,Chewy fruit-flavoured gum sweets.
Reusable Shopper,12.00,Bag,Black fabric bag made from recycled plastic.
Double Cream Yoghurt (1kg),47.99,Dairy,Thick plain yoghurt in a tub.
Sliced White Bread,18.99,Bakery,"Soft loaf of white bread, pre-sliced."
Free Range Eggs (18 pk),109.99,Eggs,Large box of mixed-size free-range eggs.
Salt & Pepper Chips (150g),24.99,Chips,Crinkle-cut potato chips with black pepper seasoning.
100% Orange Juice (1.5L),39.99,Drink,Pulp-free fruit juice in a plastic bottle.
Greek Salad,64.99,Salad,"Bowl of lettuce, tomatoes, cucumber, olives, and feta."
Rump Steak (2 pk),189.99,Meat,Two thick cuts of matured beef steak.
Ankle Socks (5 pk),129.00,Clothes,Pack of five black cotton socks.
Hand Wash (500ml),39.99,Toiletries,Liquid soap with a lavender scent.
